ADMIN2,CONTINENT,INCOME_GRP,count,rate,source,source_country,orientation
Tajikistan,Asia,5. Low income,45,0.02046086972336904,Daily Mail,United Kingdom,Center right
Thailand,Asia,3. Upper middle income,561,0.255078842551334,Daily Mail,United Kingdom,Center right
The Bahamas,North America,2. High income: nonOECD,27,0.01227652183402142,Daily Mail,United Kingdom,Center right
Togo,Africa,5. Low income,10,0.00454685993852645,Daily Mail,United Kingdom,Center right
Tonga,Oceania,4. Lower middle income,140,0.06365603913937035,Daily Mail,United Kingdom,Center right
Trinidad and Tobago,North America,2. High income: nonOECD,3,0.00136405798155793,Daily Mail,United Kingdom,Center right
Tunisia,Africa,3. Upper middle income,329,0.1495916919775203,Daily Mail,United Kingdom,Center right
Turkey,Asia,3. Upper middle income,853,0.3878471527563065,Daily Mail,United Kingdom,Center right
Turkmenistan,Asia,3. Upper middle income,9,0.0040921739446738,Daily Mail,United Kingdom,Center right
Tuvalu,Oceania,3. Upper middle income,3,0.00136405798155793,Daily Mail,United Kingdom,Center right
Uganda,Africa,5. Low income,74,0.03364676354509575,Daily Mail,United Kingdom,Center right
Ukraine,Europe,4. Lower middle income,563,0.25598821453903936,Daily Mail,United Kingdom,Center right
United Arab Emirates,Asia,2. High income: nonOECD,74,0.03364676354509575,Daily Mail,United Kingdom,Center right
United Republic of Tanzania,Africa,5. Low income,47,0.02137024171107433,Daily Mail,United Kingdom,Center right
United States of America,North America,1. High income: OECD,4812,2.1879490024189296,Daily Mail,United Kingdom,Center right
Uruguay,South America,3. Upper middle income,50,0.02273429969263226,Daily Mail,United Kingdom,Center right
Uzbekistan,Asia,4. Lower middle income,37,0.01682338177254787,Daily Mail,United Kingdom,Center right
Vanuatu,Oceania,4. Lower middle income,5,0.00227342996926322,Daily Mail,United Kingdom,Center right
Vatican,Europe,2. High income: nonOECD,114,0.05183420329920157,Daily Mail,United Kingdom,Center right
Venezuela,South America,3. Upper middle income,220,0.10003091864758198,Daily Mail,United Kingdom,Center right
Vietnam,Asia,4. Lower middle income,230,0.10457777858610842,Daily Mail,United Kingdom,Center right
Western Sahara,Africa,5. Low income,14,0.00636560391393703,Daily Mail,United Kingdom,Center right
Yemen,Asia,4. Lower middle income,178,0.08093410690577088,Daily Mail,United Kingdom,Center right
Zambia,Africa,4. Lower middle income,146,0.06638415510248623,Daily Mail,United Kingdom,Center right
Zimbabwe,Africa,5. Low income,88,0.04001236745903279,Daily Mail,United Kingdom,Center right
Australia,Oceania,1. High income: OECD,4,0.8130081300813009,Dominion Post,New Zealand,Center left
Bermuda,North America,2. High income: nonOECD,1,0.20325203252032523,Dominion Post,New Zealand,Center left
China,Asia,3. Upper middle income,1,0.20325203252032523,Dominion Post,New Zealand,Center left
Cook Islands,Oceania,3. Upper middle income,1,0.20325203252032523,Dominion Post,New Zealand,Center left
Cuba,North America,3. Upper middle income,4,0.8130081300813009,Dominion Post,New Zealand,Center left
Democratic Republic of the Congo,Africa,5. Low income,1,0.20325203252032523,Dominion Post,New Zealand,Center left
Eritrea,Africa,5. Low income,5,1.016260162601626,Dominion Post,New Zealand,Center left
Estonia,Europe,1. High income: OECD,2,0.40650406504065045,Dominion Post,New Zealand,Center left
Germany,Europe,1. High income: OECD,1,0.20325203252032523,Dominion Post,New Zealand,Center left
India,Asia,4. Lower middle income,1,0.20325203252032523,Dominion Post,New Zealand,Center left
Iran,Asia,3. Upper middle income,5,1.016260162601626,Dominion Post,New Zealand,Center left
Liberia,Africa,5. Low income,1,0.20325203252032523,Dominion Post,New Zealand,Center left
Mali,Africa,5. Low income,1,0.20325203252032523,Dominion Post,New Zealand,Center left
Mexico,North America,3. Upper middle income,1,0.20325203252032523,Dominion Post,New Zealand,Center left
Russia,Europe,3. Upper middle income,1,0.20325203252032523,Dominion Post,New Zealand,Center left
Tonga,Oceania,4. Lower middle income,1,0.20325203252032523,Dominion Post,New Zealand,Center left
Ukraine,Europe,4. Lower middle income,1,0.20325203252032523,Dominion Post,New Zealand,Center left
United Kingdom,Europe,1. High income: OECD,6,1.2195121951219512,Dominion Post,New Zealand,Center left
United States of America,North America,1. High income: OECD,2,0.40650406504065045,Dominion Post,New Zealand,Center left
Afghanistan,Asia,5. Low income,2,0.11448196908986834,Figaro,France,Center right
Algeria,Africa,3. Upper middle income,4,0.22896393817973668,Figaro,France,Center right
Antarctica,Antarctica,2. High income: nonOECD,1,0.05724098454493417,Figaro,France,Center right
Argentina,South America,3. Upper middle income,1,0.05724098454493417,Figaro,France,Center right
Australia,Oceania,1. High income: OECD,3,0.17172295363480253,Figaro,France,Center right
Austria,Europe,1. High income: OECD,1,0.05724098454493417,Figaro,France,Center right
Barbados,North America,2. High income: nonOECD,4,0.22896393817973668,Figaro,France,Center right
Belgium,Europe,1. High income: OECD,9,0.5151688609044075,Figaro,France,Center right
Bermuda,North America,2. High income: nonOECD,1,0.05724098454493417,Figaro,France,Center right
Brazil,South America,3. Upper middle income,2,0.11448196908986834,Figaro,France,Center right
Brunei,Asia,2. High income: nonOECD,3,0.17172295363480253,Figaro,France,Center right
Cameroon,Africa,4. Lower middle income,1,0.05724098454493417,Figaro,France,Center right
Canada,North America,1. High income: OECD,7,0.40068689181453926,Figaro,France,Center right
China,Asia,3. Upper middle income,9,0.5151688609044075,Figaro,France,Center right
Colombia,South America,3. Upper middle income,1,0.05724098454493417,Figaro,France,Center right
Croatia,Europe,2. High income: nonOECD,1,0.05724098454493417,Figaro,France,Center right
Cuba,North America,3. Upper middle income,1,0.05724098454493417,Figaro,France,Center right
Democratic Republic of the Congo,Africa,5. Low income,10,0.5724098454493417,Figaro,France,Center right
Denmark,Europe,1. High income: OECD,2,0.11448196908986834,Figaro,France,Center right
Eritrea,Africa,5. Low income,1,0.05724098454493417,Figaro,France,Center right
Fiji,Oceania,4. Lower middle income,1,0.05724098454493417,Figaro,France,Center right
Finland,Europe,1. High income: OECD,2,0.11448196908986834,Figaro,France,Center right
Gambia,Africa,5. Low income,1,0.05724098454493417,Figaro,France,Center right
Germany,Europe,1. High income: OECD,8,0.45792787635947335,Figaro,France,Center right
Guinea,Africa,5. Low income,1,0.05724098454493417,Figaro,France,Center right
Haiti,North America,5. Low income,4,0.22896393817973668,Figaro,France,Center right
Hong Kong S.A.R.,Asia,2. High income: nonOECD,1,0.05724098454493417,Figaro,France,Center right
India,Asia,4. Lower middle income,47,2.6903262736119062,Figaro,France,Center right
Indonesia,Asia,4. Lower middle income,3,0.17172295363480253,Figaro,France,Center right
Iran,Asia,3. Upper middle income,24,1.3737836290784202,Figaro,France,Center right
Ireland,Europe,1. High income: OECD,3,0.17172295363480253,Figaro,France,Center right
Italy,Europe,1. High income: OECD,33,1.8889524899828276,Figaro,France,Center right
Jamaica,North America,3. Upper middle income,9,0.5151688609044075,Figaro,France,Center right
Japan,Asia,1. High income: OECD,7,0.40068689181453926,Figaro,France,Center right
Kazakhstan,Asia,3. Upper middle income,1,0.05724098454493417,Figaro,France,Center right
Kenya,Africa,5. Low income,1,0.05724098454493417,Figaro,France,Center right
Lebanon,Asia,3. Upper middle income,3,0.17172295363480253,Figaro,France,Center right
Liberia,Africa,5. Low income,4,0.22896393817973668,Figaro,France,Center right
Madagascar,Africa,5. Low income,1,0.05724098454493417,Figaro,France,Center right
Mali,Africa,5. Low income,5,0.28620492272467085,Figaro,France,Center right
Malta,Europe,2. High income: nonOECD,1,0.05724098454493417,Figaro,France,Center right
Mauritius,Seven seas (open ocean),3. Upper middle income,1,0.05724098454493417,Figaro,France,Center right
Mexico,North America,3. Upper middle income,3,0.17172295363480253,Figaro,France,Center right
Monaco,Europe,2. High income: nonOECD,2,0.11448196908986834,Figaro,France,Center right
Mongolia,Asia,4. Lower middle income,1,0.05724098454493417,Figaro,France,Center right
Morocco,Africa,4. Lower middle income,4,0.22896393817973668,Figaro,France,Center right
Nepal,Asia,5. Low income,1,0.05724098454493417,Figaro,France,Center right
Niger,Africa,5. Low income,1,0.05724098454493417,Figaro,France,Center right
Nigeria,Africa,4. Lower middle income,1,0.05724098454493417,Figaro,France,Center right
Pakistan,Asia,4. Lower middle income,4,0.22896393817973668,Figaro,France,Center right
Palau,Oceania,3. Upper middle income,3,0.17172295363480253,Figaro,France,Center right
Palestine,Asia,4. Lower middle income,1,0.05724098454493417,Figaro,France,Center right
Philippines,Asia,4. Lower middle income,1,0.05724098454493417,Figaro,France,Center right
Republic of Serbia,Europe,3. Upper middle income,1,0.05724098454493417,Figaro,France,Center right
Russia,Europe,3. Upper middle income,28,1.602747567258157,Figaro,France,Center right
Saint Helena,Seven seas (open ocean),4. Lower middle income,1,0.05724098454493417,Figaro,France,Center right
Saudi Arabia,Asia,2. High income: nonOECD,6,0.34344590726960506,Figaro,France,Center right
Senegal,Africa,4. Lower middle income,2,0.11448196908986834,Figaro,France,Center right
Sierra Leone,Africa,5. Low income,6,0.34344590726960506,Figaro,France,Center right
South Africa,Africa,3. Upper middle income,1,0.05724098454493417,Figaro,France,Center right
Spain,Europe,1. High income: OECD,8,0.45792787635947335,Figaro,France,Center right
Sri Lanka,Asia,4. Lower middle income,4,0.22896393817973668,Figaro,France,Center right
Sudan,Africa,4. Lower middle income,1,0.05724098454493417,Figaro,France,Center right
Sweden,Europe,1. High income: OECD,6,0.34344590726960506,Figaro,France,Center right
Switzerland,Europe,1. High income: OECD,2,0.11448196908986834,Figaro,France,Center right
Syria,Asia,4. Lower middle income,1,0.05724098454493417,Figaro,France,Center right
Turkey,Asia,3. Upper middle income,1,0.05724098454493417,Figaro,France,Center right
Ukraine,Europe,4. Lower middle income,12,0.6868918145392101,Figaro,France,Center right
United Arab Emirates,Asia,2. High income: nonOECD,4,0.22896393817973668,Figaro,France,Center right
