ADMIN2,CONTINENT,INCOME_GRP,count,rate,source,source_country,orientation
Costa Rica,North America,3. Upper middle income,48,0.02183217425713753,Daily Mail,United Kingdom,Center right
Croatia,Europe,2. High income: nonOECD,158,0.07186424026307771,Daily Mail,United Kingdom,Center right
Cuba,North America,3. Upper middle income,742,0.33748902705825096,Daily Mail,United Kingdom,Center right
Curaçao,North America,2. High income: nonOECD,1,4.548369636903652e-4,Daily Mail,United Kingdom,Center right
Cyprus,Asia,2. High income: nonOECD,127,0.057764294388676383,Daily Mail,United Kingdom,Center right
Czechia,Europe,1. High income: OECD,378,0.17192837227495805,Daily Mail,United Kingdom,Center right
Democratic Republic of the Congo,Africa,5. Low income,671,0.305195602636235,Daily Mail,United Kingdom,Center right
Denmark,Europe,1. High income: OECD,322,0.1464575023082976,Daily Mail,United Kingdom,Center right
Djibouti,Africa,4. Lower middle income,13,0.005912880527974747,Daily Mail,United Kingdom,Center right
Dominica,North America,3. Upper middle income,328,0.14918652409043978,Daily Mail,United Kingdom,Center right
Dominican Republic,North America,3. Upper middle income,49,0.022287011220827897,Daily Mail,United Kingdom,Center right
East Timor,Asia,4. Lower middle income,3,0.0013645108910710956,Daily Mail,United Kingdom,Center right
Ecuador,South America,3. Upper middle income,96,0.04366434851427506,Daily Mail,United Kingdom,Center right
Egypt,Africa,4. Lower middle income,328,0.14918652409043978,Daily Mail,United Kingdom,Center right
El Salvador,North America,4. Lower middle income,241,0.10961570824937802,Daily Mail,United Kingdom,Center right
Equatorial Guinea,Africa,2. High income: nonOECD,8,0.0036386957095229217,Daily Mail,United Kingdom,Center right
Eritrea,Africa,5. Low income,251,0.11416407788628166,Daily Mail,United Kingdom,Center right
Estonia,Europe,1. High income: OECD,383,0.17420255709340987,Daily Mail,United Kingdom,Center right
eSwatini,Africa,4. Lower middle income,23,0.0104612501648784,Daily Mail,United Kingdom,Center right
Ethiopia,Africa,5. Low income,430,0.19557989438685705,Daily Mail,United Kingdom,Center right
Falkland Islands,South America,1. High income: OECD,1,4.548369636903652e-4,Daily Mail,United Kingdom,Center right
Faroe Islands,Europe,2. High income: nonOECD,21,0.009551576237497668,Daily Mail,United Kingdom,Center right
Federated States of Micronesia,Oceania,4. Lower middle income,1,4.548369636903652e-4,Daily Mail,United Kingdom,Center right
Fiji,Oceania,4. Lower middle income,96,0.04366434851427506,Daily Mail,United Kingdom,Center right
Finland,Europe,1. High income: OECD,137,0.06231266402558003,Daily Mail,United Kingdom,Center right
France,Europe,1. High income: OECD,2608,1.1862148013044724,Daily Mail,United Kingdom,Center right
French Polynesia,Oceania,2. High income: nonOECD,9,0.004093532673213287,Daily Mail,United Kingdom,Center right
Gabon,Africa,3. Upper middle income,21,0.009551576237497668,Daily Mail,United Kingdom,Center right
Gambia,Africa,5. Low income,32,0.014554782838091689,Daily Mail,United Kingdom,Center right
Georgia,Asia,4. Lower middle income,778,0.3538631577511041,Daily Mail,United Kingdom,Center right
Germany,Europe,1. High income: OECD,2260,1.0279315379402254,Daily Mail,United Kingdom,Center right
Ghana,Africa,4. Lower middle income,51,0.023196685148208624,Daily Mail,United Kingdom,Center right
Greece,Europe,1. High income: OECD,385,0.1751122310207906,Daily Mail,United Kingdom,Center right
Greenland,North America,2. High income: nonOECD,24,0.010916087128568765,Daily Mail,United Kingdom,Center right
Grenada,North America,3. Upper middle income,35,0.01591929372916278,Daily Mail,United Kingdom,Center right
Guam,Oceania,2. High income: nonOECD,5,0.0022741848184518257,Daily Mail,United Kingdom,Center right
Guatemala,North America,4. Lower middle income,66,0.030019239603564105,Daily Mail,United Kingdom,Center right
Guernsey,Europe,2. High income: nonOECD,3,0.0013645108910710956,Daily Mail,United Kingdom,Center right
Guinea,Africa,5. Low income,190,0.08641902310116939,Daily Mail,United Kingdom,Center right
Guinea-Bissau,Africa,5. Low income,3,0.0013645108910710956,Daily Mail,United Kingdom,Center right
Guyana,South America,4. Lower middle income,20,0.009096739273807304,Daily Mail,United Kingdom,Center right
Haiti,North America,5. Low income,611,0.27790538481481314,Daily Mail,United Kingdom,Center right
Honduras,North America,4. Lower middle income,64,0.029109565676183374,Daily Mail,United Kingdom,Center right
Hong Kong S.A.R.,Asia,2. High income: nonOECD,1457,0.662697456096862,Daily Mail,United Kingdom,Center right
Hungary,Europe,1. High income: OECD,421,0.19148636171364372,Daily Mail,United Kingdom,Center right
Iceland,Europe,1. High income: OECD,68,0.03092891353094484,Daily Mail,United Kingdom,Center right
India,Asia,4. Lower middle income,5681,2.5839287907249644,Daily Mail,United Kingdom,Center right
Indonesia,Asia,4. Lower middle income,403,0.1832992963672172,Daily Mail,United Kingdom,Center right
Iran,Asia,3. Upper middle income,3353,1.5250683392537945,Daily Mail,United Kingdom,Center right
Iraq,Asia,4. Lower middle income,455,0.20695081847911617,Daily Mail,United Kingdom,Center right
Ireland,Europe,1. High income: OECD,1286,0.5849203353058097,Daily Mail,United Kingdom,Center right
Isle of Man,Europe,2. High income: nonOECD,5,0.0022741848184518257,Daily Mail,United Kingdom,Center right
Israel,Asia,1. High income: OECD,1057,0.480762670620716,Daily Mail,United Kingdom,Center right
Italy,Europe,1. High income: OECD,2822,1.2835499115342106,Daily Mail,United Kingdom,Center right
Ivory Coast,Africa,4. Lower middle income,83,0.03775146798630031,Daily Mail,United Kingdom,Center right
Jamaica,North America,3. Upper middle income,117,0.053215924751772725,Daily Mail,United Kingdom,Center right
Japan,Asia,1. High income: OECD,3886,1.767496440900759,Daily Mail,United Kingdom,Center right
Jersey,Europe,2. High income: nonOECD,217,0.09869962112080924,Daily Mail,United Kingdom,Center right
Jordan,Asia,3. Upper middle income,439,0.19967342706007032,Daily Mail,United Kingdom,Center right
Kazakhstan,Asia,3. Upper middle income,37,0.01682896765654351,Daily Mail,United Kingdom,Center right
Kenya,Africa,5. Low income,241,0.10961570824937802,Daily Mail,United Kingdom,Center right
Kosovo,Europe,4. Lower middle income,80,0.03638695709522921,Daily Mail,United Kingdom,Center right
Kuwait,Asia,2. High income: nonOECD,70,0.03183858745832556,Daily Mail,United Kingdom,Center right
Kyrgyzstan,Asia,5. Low income,3,0.0013645108910710956,Daily Mail,United Kingdom,Center right
Laos,Asia,4. Lower middle income,4,0.0018193478547614609,Daily Mail,United Kingdom,Center right
Latvia,Europe,3. Upper middle income,42,0.019103152474995336,Daily Mail,United Kingdom,Center right
Lebanon,Asia,3. Upper middle income,567,0.2578925584124371,Daily Mail,United Kingdom,Center right
Lesotho,Africa,4. Lower middle income,1,4.548369636903652e-4,Daily Mail,United Kingdom,Center right
Liberia,Africa,5. Low income,470,0.21377337293447163,Daily Mail,United Kingdom,Center right
Libya,Africa,3. Upper middle income,269,0.12235114323270824,Daily Mail,United Kingdom,Center right
Liechtenstein,Europe,2. High income: nonOECD,18,0.008187065346426574,Daily Mail,United Kingdom,Center right
Lithuania,Europe,3. Upper middle income,126,0.05730945742498601,Daily Mail,United Kingdom,Center right
Luxembourg,Europe,1. High income: OECD,45,0.02046766336606643,Daily Mail,United Kingdom,Center right
Macao S.A.R,Asia,2. High income: nonOECD,44,0.020012826402376067,Daily Mail,United Kingdom,Center right
Madagascar,Africa,5. Low income,23,0.0104612501648784,Daily Mail,United Kingdom,Center right
Malawi,Africa,5. Low income,7,0.0031838587458325567,Daily Mail,United Kingdom,Center right
Malaysia,Asia,3. Upper middle income,400,0.18193478547614608,Daily Mail,United Kingdom,Center right
Maldives,Seven seas (open ocean),3. Upper middle income,37,0.01682896765654351,Daily Mail,United Kingdom,Center right
Mali,Africa,5. Low income,634,0.2883666349796916,Daily Mail,United Kingdom,Center right
Malta,Europe,2. High income: nonOECD,49,0.022287011220827897,Daily Mail,United Kingdom,Center right
Marshall Islands,Oceania,4. Lower middle income,2,9.096739273807304e-4,Daily Mail,United Kingdom,Center right
Mauritania,Africa,5. Low income,4,0.0018193478547614609,Daily Mail,United Kingdom,Center right
Mauritius,Seven seas (open ocean),3. Upper middle income,13,0.005912880527974747,Daily Mail,United Kingdom,Center right
Mexico,North America,3. Upper middle income,1309,0.595381585470688,Daily Mail,United Kingdom,Center right
Moldova,Europe,4. Lower middle income,60,0.027290217821421908,Daily Mail,United Kingdom,Center right
Monaco,Europe,2. High income: nonOECD,255,0.11598342574104312,Daily Mail,United Kingdom,Center right
Mongolia,Asia,4. Lower middle income,18,0.008187065346426574,Daily Mail,United Kingdom,Center right
Montenegro,Europe,3. Upper middle income,34,0.015464456765472418,Daily Mail,United Kingdom,Center right
Montserrat,North America,4. Lower middle income,1,4.548369636903652e-4,Daily Mail,United Kingdom,Center right
Morocco,Africa,4. Lower middle income,178,0.08096097953688501,Daily Mail,United Kingdom,Center right
Mozambique,Africa,5. Low income,52,0.023651522111898988,Daily Mail,United Kingdom,Center right
Myanmar,Asia,5. Low income,439,0.19967342706007032,Daily Mail,United Kingdom,Center right
Namibia,Africa,3. Upper middle income,56,0.025470869966660453,Daily Mail,United Kingdom,Center right
Nauru,Oceania,4. Lower middle income,17,0.007732228382736209,Daily Mail,United Kingdom,Center right
Nepal,Asia,5. Low income,49,0.022287011220827897,Daily Mail,United Kingdom,Center right
Netherlands,Europe,1. High income: OECD,641,0.2915504937255241,Daily Mail,United Kingdom,Center right
New Caledonia,Oceania,2. High income: nonOECD,6,0.002729021782142191,Daily Mail,United Kingdom,Center right
New Zealand,Oceania,1. High income: OECD,814,0.37023728844395726,Daily Mail,United Kingdom,Center right
Nicaragua,North America,4. Lower middle income,104,0.047303044223797976,Daily Mail,United Kingdom,Center right
Niger,Africa,5. Low income,509,0.2315120145183959,Daily Mail,United Kingdom,Center right
Nigeria,Africa,4. Lower middle income,624,0.28381826534278787,Daily Mail,United Kingdom,Center right
Niue,Oceania,3. Upper middle income,276,0.12553500197854078,Daily Mail,United Kingdom,Center right
North Korea,Asia,5. Low income,164,0.07459326204521989,Daily Mail,United Kingdom,Center right
North Macedonia,Europe,3. Upper middle income,78,0.035477283167848483,Daily Mail,United Kingdom,Center right
Northern Cyprus,Asia,3. Upper middle income,1,4.548369636903652e-4,Daily Mail,United Kingdom,Center right
Norway,Europe,1. High income: OECD,375,0.17056386138388696,Daily Mail,United Kingdom,Center right
Oman,Asia,2. High income: nonOECD,1001,0.4552918006540556,Daily Mail,United Kingdom,Center right
Pakistan,Asia,4. Lower middle income,634,0.2883666349796916,Daily Mail,United Kingdom,Center right
Palau,Oceania,3. Upper middle income,637,0.2897311458707626,Daily Mail,United Kingdom,Center right
Palestine,Asia,4. Lower middle income,238,0.10825119735830692,Daily Mail,United Kingdom,Center right
Panama,North America,3. Upper middle income,60,0.027290217821421908,Daily Mail,United Kingdom,Center right
Papua New Guinea,Oceania,4. Lower middle income,30,0.013645108910710954,Daily Mail,United Kingdom,Center right
Paraguay,South America,4. Lower middle income,46,0.0209225003297568,Daily Mail,United Kingdom,Center right
Peru,South America,3. Upper middle income,186,0.08459967524640792,Daily Mail,United Kingdom,Center right
Philippines,Asia,4. Lower middle income,336,0.1528252197999627,Daily Mail,United Kingdom,Center right
Poland,Europe,1. High income: OECD,873,0.3970726693016888,Daily Mail,United Kingdom,Center right
Portugal,Europe,1. High income: OECD,488,0.2219604382808982,Daily Mail,United Kingdom,Center right
Puerto Rico,North America,2. High income: nonOECD,68,0.03092891353094484,Daily Mail,United Kingdom,Center right
Qatar,Asia,2. High income: nonOECD,359,0.16328646996484109,Daily Mail,United Kingdom,Center right
Republic of Serbia,Europe,3. Upper middle income,369,0.16783483960174478,Daily Mail,United Kingdom,Center right
Romania,Europe,3. Upper middle income,163,0.07413842508152953,Daily Mail,United Kingdom,Center right
Russia,Europe,3. Upper middle income,3360,1.528252197999627,Daily Mail,United Kingdom,Center right
Rwanda,Africa,5. Low income,78,0.035477283167848483,Daily Mail,United Kingdom,Center right
Saint Helena,Seven seas (open ocean),4. Lower middle income,144,0.06549652277141259,Daily Mail,United Kingdom,Center right
Saint Lucia,North America,3. Upper middle income,2,9.096739273807304e-4,Daily Mail,United Kingdom,Center right
Samoa,Oceania,4. Lower middle income,37,0.01682896765654351,Daily Mail,United Kingdom,Center right
San Marino,Europe,2. High income: nonOECD,23,0.0104612501648784,Daily Mail,United Kingdom,Center right
Saudi Arabia,Asia,2. High income: nonOECD,439,0.19967342706007032,Daily Mail,United Kingdom,Center right
Senegal,Africa,4. Lower middle income,144,0.06549652277141259,Daily Mail,United Kingdom,Center right
Seychelles,Seven seas (open ocean),3. Upper middle income,7,0.0031838587458325567,Daily Mail,United Kingdom,Center right
Sierra Leone,Africa,5. Low income,698,0.3174762006558749,Daily Mail,United Kingdom,Center right
Singapore,Asia,2. High income: nonOECD,284,0.1291736976880637,Daily Mail,United Kingdom,Center right
Slovakia,Europe,1. High income: OECD,67,0.03047407656725447,Daily Mail,United Kingdom,Center right
Slovenia,Europe,1. High income: OECD,82,0.037296631022609945,Daily Mail,United Kingdom,Center right
Somalia,Africa,5. Low income,83,0.03775146798630031,Daily Mail,United Kingdom,Center right
Somaliland,Africa,4. Lower middle income,2,9.096739273807304e-4,Daily Mail,United Kingdom,Center right
South Africa,Africa,3. Upper middle income,901,0.409808104285019,Daily Mail,United Kingdom,Center right
South Korea,Asia,1. High income: OECD,1229,0.5589946283754589,Daily Mail,United Kingdom,Center right
South Sudan,Africa,5. Low income,44,0.020012826402376067,Daily Mail,United Kingdom,Center right
Spain,Europe,1. High income: OECD,1542,0.7013585980105431,Daily Mail,United Kingdom,Center right
Sri Lanka,Asia,4. Lower middle income,735,0.3343051683124184,Daily Mail,United Kingdom,Center right
Sudan,Africa,4. Lower middle income,378,0.17192837227495805,Daily Mail,United Kingdom,Center right
Suriname,South America,3. Upper middle income,7,0.0031838587458325567,Daily Mail,United Kingdom,Center right
Sweden,Europe,1. High income: OECD,342,0.15555424158210487,Daily Mail,United Kingdom,Center right
Switzerland,Europe,1. High income: OECD,368,0.1673800026380544,Daily Mail,United Kingdom,Center right
Syria,Asia,4. Lower middle income,388,0.1764767419118617,Daily Mail,United Kingdom,Center right
Taiwan,Asia,2. High income: nonOECD,511,0.23242168844577665,Daily Mail,United Kingdom,Center right
Tajikistan,Asia,5. Low income,45,0.02046766336606643,Daily Mail,United Kingdom,Center right
Thailand,Asia,3. Upper middle income,561,0.25516353663029484,Daily Mail,United Kingdom,Center right
The Bahamas,North America,2. High income: nonOECD,27,0.01228059801963986,Daily Mail,United Kingdom,Center right
Togo,Africa,5. Low income,10,0.004548369636903651,Daily Mail,United Kingdom,Center right
Tonga,Oceania,4. Lower middle income,140,0.06367717491665112,Daily Mail,United Kingdom,Center right
Trinidad and Tobago,North America,2. High income: nonOECD,3,0.0013645108910710956,Daily Mail,United Kingdom,Center right
Tunisia,Africa,3. Upper middle income,329,0.14964136105413017,Daily Mail,United Kingdom,Center right
Turkey,Asia,3. Upper middle income,853,0.3879759300278815,Daily Mail,United Kingdom,Center right
Turkmenistan,Asia,3. Upper middle income,9,0.004093532673213287,Daily Mail,United Kingdom,Center right
Tuvalu,Oceania,3. Upper middle income,3,0.0013645108910710956,Daily Mail,United Kingdom,Center right
Uganda,Africa,5. Low income,74,0.03365793531308702,Daily Mail,United Kingdom,Center right
Ukraine,Europe,4. Lower middle income,563,0.2560732105576756,Daily Mail,United Kingdom,Center right
United Arab Emirates,Asia,2. High income: nonOECD,74,0.03365793531308702,Daily Mail,United Kingdom,Center right
United Republic of Tanzania,Africa,5. Low income,47,0.02137733729344716,Daily Mail,United Kingdom,Center right
United States of America,North America,1. High income: OECD,4812,2.188675469278037,Daily Mail,United Kingdom,Center right
Uruguay,South America,3. Upper middle income,50,0.02274184818451826,Daily Mail,United Kingdom,Center right
Uzbekistan,Asia,4. Lower middle income,37,0.01682896765654351,Daily Mail,United Kingdom,Center right
Vanuatu,Oceania,4. Lower middle income,5,0.0022741848184518257,Daily Mail,United Kingdom,Center right
Vatican,Europe,2. High income: nonOECD,114,0.051851413860701634,Daily Mail,United Kingdom,Center right
Venezuela,South America,3. Upper middle income,220,0.10006413201188034,Daily Mail,United Kingdom,Center right
Vietnam,Asia,4. Lower middle income,230,0.104612501648784,Daily Mail,United Kingdom,Center right
Western Sahara,Africa,5. Low income,14,0.006367717491665113,Daily Mail,United Kingdom,Center right
Yemen,Asia,4. Lower middle income,178,0.08096097953688501,Daily Mail,United Kingdom,Center right
Zambia,Africa,4. Lower middle income,146,0.06640619669879332,Daily Mail,United Kingdom,Center right
Zimbabwe,Africa,5. Low income,88,0.040025652804752135,Daily Mail,United Kingdom,Center right
Australia,Oceania,1. High income: OECD,4,0.8421052631578947,Dominion Post,New Zealand,Center left
Bermuda,North America,2. High income: nonOECD,1,0.21052631578947367,Dominion Post,New Zealand,Center left
China,Asia,3. Upper middle income,1,0.21052631578947367,Dominion Post,New Zealand,Center left
Cook Islands,Oceania,3. Upper middle income,1,0.21052631578947367,Dominion Post,New Zealand,Center left
Cuba,North America,3. Upper middle income,4,0.8421052631578947,Dominion Post,New Zealand,Center left
Democratic Republic of the Congo,Africa,5. Low income,1,0.21052631578947367,Dominion Post,New Zealand,Center left
Eritrea,Africa,5. Low income,5,1.0526315789473684,Dominion Post,New Zealand,Center left
Estonia,Europe,1. High income: OECD,2,0.42105263157894735,Dominion Post,New Zealand,Center left
Germany,Europe,1. High income: OECD,1,0.21052631578947367,Dominion Post,New Zealand,Center left
India,Asia,4. Lower middle income,1,0.21052631578947367,Dominion Post,New Zealand,Center left
Iran,Asia,3. Upper middle income,5,1.0526315789473684,Dominion Post,New Zealand,Center left
Liberia,Africa,5. Low income,1,0.21052631578947367,Dominion Post,New Zealand,Center left
Mali,Africa,5. Low income,1,0.21052631578947367,Dominion Post,New Zealand,Center left
Mexico,North America,3. Upper middle income,1,0.21052631578947367,Dominion Post,New Zealand,Center left
Russia,Europe,3. Upper middle income,1,0.21052631578947367,Dominion Post,New Zealand,Center left
Tonga,Oceania,4. Lower middle income,1,0.21052631578947367,Dominion Post,New Zealand,Center left
Ukraine,Europe,4. Lower middle income,1,0.21052631578947367,Dominion Post,New Zealand,Center left
United Kingdom,Europe,1. High income: OECD,6,1.263157894736842,Dominion Post,New Zealand,Center left
United States of America,North America,1. High income: OECD,2,0.42105263157894735,Dominion Post,New Zealand,Center left
Afghanistan,Asia,5. Low income,1,0.059844404548174746,Figaro,France,Center right
Algeria,Africa,3. Upper middle income,4,0.23937761819269895,Figaro,France,Center right
Antarctica,Antarctica,2. High income: nonOECD,1,0.059844404548174746,Figaro,France,Center right
Argentina,South America,3. Upper middle income,1,0.059844404548174746,Figaro,France,Center right
Australia,Oceania,1. High income: OECD,2,0.11968880909634948,Figaro,France,Center right
Austria,Europe,1. High income: OECD,1,0.059844404548174746,Figaro,France,Center right
Barbados,North America,2. High income: nonOECD,4,0.23937761819269895,Figaro,France,Center right
Belgium,Europe,1. High income: OECD,9,0.5385996409335727,Figaro,France,Center right
Bermuda,North America,2. High income: nonOECD,1,0.059844404548174746,Figaro,France,Center right
Brazil,South America,3. Upper middle income,2,0.11968880909634948,Figaro,France,Center right
Brunei,Asia,2. High income: nonOECD,2,0.11968880909634948,Figaro,France,Center right
Canada,North America,1. High income: OECD,6,0.3590664272890485,Figaro,France,Center right
China,Asia,3. Upper middle income,8,0.478755236385398,Figaro,France,Center right
Colombia,South America,3. Upper middle income,1,0.059844404548174746,Figaro,France,Center right
Croatia,Europe,2. High income: nonOECD,1,0.059844404548174746,Figaro,France,Center right
Cuba,North America,3. Upper middle income,1,0.059844404548174746,Figaro,France,Center right
Democratic Republic of the Congo,Africa,5. Low income,9,0.5385996409335727,Figaro,France,Center right
Denmark,Europe,1. High income: OECD,1,0.059844404548174746,Figaro,France,Center right
Fiji,Oceania,4. Lower middle income,1,0.059844404548174746,Figaro,France,Center right
Gambia,Africa,5. Low income,1,0.059844404548174746,Figaro,France,Center right
Germany,Europe,1. High income: OECD,5,0.29922202274087373,Figaro,France,Center right
Guinea,Africa,5. Low income,1,0.059844404548174746,Figaro,France,Center right
Haiti,North America,5. Low income,3,0.17953321364452424,Figaro,France,Center right
Hong Kong S.A.R.,Asia,2. High income: nonOECD,1,0.059844404548174746,Figaro,France,Center right
India,Asia,4. Lower middle income,42,2.5134649910233398,Figaro,France,Center right
Indonesia,Asia,4. Lower middle income,3,0.17953321364452424,Figaro,France,Center right
Iran,Asia,3. Upper middle income,21,1.2567324955116697,Figaro,France,Center right
Ireland,Europe,1. High income: OECD,3,0.17953321364452424,Figaro,France,Center right
Italy,Europe,1. High income: OECD,31,1.855176540993417,Figaro,France,Center right
Jamaica,North America,3. Upper middle income,8,0.478755236385398,Figaro,France,Center right
Japan,Asia,1. High income: OECD,5,0.29922202274087373,Figaro,France,Center right
Kazakhstan,Asia,3. Upper middle income,1,0.059844404548174746,Figaro,France,Center right
Kenya,Africa,5. Low income,1,0.059844404548174746,Figaro,France,Center right
Lebanon,Asia,3. Upper middle income,3,0.17953321364452424,Figaro,France,Center right
Liberia,Africa,5. Low income,4,0.23937761819269895,Figaro,France,Center right
Madagascar,Africa,5. Low income,1,0.059844404548174746,Figaro,France,Center right
Mali,Africa,5. Low income,5,0.29922202274087373,Figaro,France,Center right
Malta,Europe,2. High income: nonOECD,1,0.059844404548174746,Figaro,France,Center right
Mauritius,Seven seas (open ocean),3. Upper middle income,1,0.059844404548174746,Figaro,France,Center right
Mexico,North America,3. Upper middle income,3,0.17953321364452424,Figaro,France,Center right
Monaco,Europe,2. High income: nonOECD,2,0.11968880909634948,Figaro,France,Center right
Morocco,Africa,4. Lower middle income,4,0.23937761819269895,Figaro,France,Center right
Nepal,Asia,5. Low income,1,0.059844404548174746,Figaro,France,Center right
Niger,Africa,5. Low income,1,0.059844404548174746,Figaro,France,Center right
Oman,Asia,2. High income: nonOECD,3,0.17953321364452424,Figaro,France,Center right
Pakistan,Asia,4. Lower middle income,3,0.17953321364452424,Figaro,France,Center right
Palau,Oceania,3. Upper middle income,3,0.17953321364452424,Figaro,France,Center right
Palestine,Asia,4. Lower middle income,1,0.059844404548174746,Figaro,France,Center right
Philippines,Asia,4. Lower middle income,1,0.059844404548174746,Figaro,France,Center right
Republic of Serbia,Europe,3. Upper middle income,1,0.059844404548174746,Figaro,France,Center right
Russia,Europe,3. Upper middle income,26,1.5559545182525434,Figaro,France,Center right
Saint Helena,Seven seas (open ocean),4. Lower middle income,1,0.059844404548174746,Figaro,France,Center right
Saudi Arabia,Asia,2. High income: nonOECD,6,0.3590664272890485,Figaro,France,Center right
Senegal,Africa,4. Lower middle income,2,0.11968880909634948,Figaro,France,Center right
Sierra Leone,Africa,5. Low income,6,0.3590664272890485,Figaro,France,Center right
South Africa,Africa,3. Upper middle income,1,0.059844404548174746,Figaro,France,Center right
Spain,Europe,1. High income: OECD,8,0.478755236385398,Figaro,France,Center right
Sri Lanka,Asia,4. Lower middle income,4,0.23937761819269895,Figaro,France,Center right
Sudan,Africa,4. Lower middle income,1,0.059844404548174746,Figaro,France,Center right
Sweden,Europe,1. High income: OECD,6,0.3590664272890485,Figaro,France,Center right
Switzerland,Europe,1. High income: OECD,2,0.11968880909634948,Figaro,France,Center right
Syria,Asia,4. Lower middle income,1,0.059844404548174746,Figaro,France,Center right
Turkey,Asia,3. Upper middle income,1,0.059844404548174746,Figaro,France,Center right
Ukraine,Europe,4. Lower middle income,11,0.6582884500299222,Figaro,France,Center right
United Arab Emirates,Asia,2. High income: nonOECD,4,0.23937761819269895,Figaro,France,Center right
United Kingdom,Europe,1. High income: OECD,25,1.4961101137043686,Figaro,France,Center right
United Republic of Tanzania,Africa,5. Low income,1,0.059844404548174746,Figaro,France,Center right
United States of America,North America,1. High income: OECD,11,0.6582884500299222,Figaro,France,Center right
Vatican,Europe,2. High income: nonOECD,1,0.059844404548174746,Figaro,France,Center right
